index,DateTime,data,time,open,high,low,close,pctchange,name,chinese
4331,1211,2022/6/27,1030,238.29,239.17,237.81,239.1,0.003399219,568,泸州老窖
4332,1212,2022/6/27,1035,239.1,239.1,238.61,238.76,-0.001421999,568,泸州老窖
4333,1213,2022/6/27,1040,238.91,239.78,238.9,239.16,0.001675322,568,泸州老窖
4334,1214,2022/6/27,1045,239.07,239.23,238.75,238.78,-0.001588894,568,泸州老窖
4335,1215,2022/6/27,1050,238.77,239.98,238.77,239.96,0.004941787,568,泸州老窖
4336,1216,2022/6/27,1055,239.97,240.1,239.9,240.1,0.000583431,568,泸州老窖
4337,1217,2022/6/27,1100,240.07,242,240.07,241.8,0.007080383,568,泸州老窖
4338,1218,2022/6/27,1105,241.81,241.99,241.51,241.98,0.000744417,568,泸州老窖
4339,1219,2022/6/27,1110,241.87,242,241.64,241.84,-0.00057856,568,泸州老窖
4340,1220,2022/6/27,1115,241.85,241.86,240.39,240.57,-0.005251406,568,泸州老窖
4341,1221,2022/6/27,1120,240.6,240.8,239.66,240.53,-0.000166272,568,泸州老窖
4342,1222,2022/6/27,1125,240.25,240.68,238.5,238.58,-0.008107097,568,泸州老窖
4343,1223,2022/6/27,1130,238.66,239.07,238.5,238.72,0.000586805,568,泸州老窖
4344,1224,2022/6/27,1305,238.5,238.87,237.95,238.87,0.000628351,568,泸州老窖
4345,1225,2022/6/27,1310,238.74,239.1,238.44,238.6,-0.001130322,568,泸州老窖
4346,1226,2022/6/27,1315,238.54,239.05,238,238.29,-0.001299246,568,泸州老窖
4347,1227,2022/6/27,1320,238.02,238.04,236.84,237.15,-0.004784087,568,泸州老窖
4348,1228,2022/6/27,1325,237.04,237.8,237.03,237.66,0.002150538,568,泸州老窖
4349,1229,2022/6/27,1330,237.46,237.96,236.7,236.71,-0.003997307,568,泸州老窖
4350,1230,2022/6/27,1335,236.7,237.43,236,237.41,0.002957205,568,泸州老窖
4351,1231,2022/6/27,1340,237.41,237.43,237.2,237.38,-0.000126364,568,泸州老窖
4352,1232,2022/6/27,1345,237.37,238.05,237.37,238,0.002611846,568,泸州老窖
4353,1233,2022/6/27,1350,238,238.53,237.95,238.5,0.00210084,568,泸州老窖
4354,1234,2022/6/27,1355,238.5,238.87,238.3,238.42,-0.00033543,568,泸州老窖
4355,1235,2022/6/27,1400,238.39,238.8,238.06,238.75,0.001384112,568,泸州老窖
4356,1236,2022/6/27,1405,238.75,239.58,238.7,239.17,0.001759162,568,泸州老窖
